chargeback_id,payment_id,amount,created_at,settlement_id
cb_00001,pay_000010,545.99,2026-07-13T06:19:00,setl_20260713_009
cb_00002,pay_000081,825.00,2026-07-31T21:14:00,setl_20260731_029
cb_00003,pay_000133,1962.99,2026-08-19T04:09:00,setl_20260819_046
cb_00004,pay_000198,4443.00,2026-08-16T18:58:00,setl_20260817_044
cb_00005,pay_000220,4084.00,2026-07-16T01:07:00,setl_20260716_014
cb_00006,pay_000364,12378.00,2026-08-12T07:02:00,setl_20260812_039
cb_00007,pay_000629,9169.00,2026-09-01T01:21:00,
cb_00008,pay_000660,78054.00,2026-09-04T00:55:00,
cb_00009,pay_000827,1506.00,2026-08-15T14:00:00,setl_20260817_044
cb_00010,pay_000881,269.00,2026-09-12T10:47:00,
