payment_id,order_id,captured_at,amount,method,fee,tax_on_fee,status,settlement_id
pay_000001,ord_000044,2026-07-02T13:58:00,3464.00,wallet,69.28,12.47,captured,setl_20260706_002
pay_000002,ord_000080,2026-07-01T09:35:00,12938.00,netbanking,232.88,41.92,captured,setl_20260703_001
pay_000003,ord_000082,2026-07-01T21:34:00,809.99,card,16.20,2.92,captured,setl_20260703_001
pay_000004,ord_000162,2026-07-02T08:22:00,20610.00,upi,0.00,0.00,captured,setl_20260706_002
pay_000005,ord_000176,2026-07-01T14:14:00,2159.50,card,43.19,7.77,captured,setl_20260703_001
pay_000006,ord_000217,2026-07-02T03:54:00,12116.99,upi,0.00,0.00,captured,setl_20260706_002
pay_000007,ord_000244,2026-07-02T05:35:00,14700.00,upi,0.00,0.00,captured,setl_20260706_002
pay_000008,ord_000496,2026-07-02T03:31:00,1407.99,wallet,28.16,5.07,captured,setl_20260706_002
pay_000009,ord_000547,2026-07-01T18:39:00,78050.00,upi,0.00,0.00,captured,setl_20260703_001
pay_000010,ord_000596,2026-07-02T06:19:00,545.99,card,10.92,1.97,captured,setl_20260706_002
pay_000011,ord_000633,2026-07-02T15:27:00,1339.00,upi,0.00,0.00,captured,setl_20260706_002
pay_000012,ord_000646,2026-07-02T05:27:00,1771.99,upi,0.00,0.00,captured,setl_20260706_002
pay_000013,ord_000709,2026-07-02T00:29:00,245.00,upi,0.00,0.00,captured,setl_20260706_002
pay_000014,ord_000717,2026-07-02T05:38:00,2701.00,upi,0.00,0.00,captured,setl_20260706_002
pay_000015,ord_000784,2026-07-01T15:16:00,11885.50,card,237.71,42.79,captured,setl_20260703_001
pay_000016,ord_000851,2026-07-02T12:32:00,1450.00,card,29.00,5.22,captured,setl_20260706_002
pay_000017,ord_000875,2026-07-01T15:58:00,889.99,upi,0.00,0.00,captured,setl_20260703_001
pay_000018,ord_000921,2026-07-02T05:49:00,48132.50,upi,0.00,0.00,captured,setl_20260706_002
pay_000019,ord_000928,2026-07-02T12:18:00,1446.99,upi,0.00,0.00,captured,setl_20260706_002
pay_000020,ord_000035,2026-07-02T09:42:00,72587.00,upi,0.00,0.00,captured,setl_20260706_002
pay_000021,ord_000043,2026-07-03T09:32:00,12141.00,upi,0.00,0.00,captured,setl_20260707_003
pay_000022,ord_000093,2026-07-03T12:09:00,1543.00,card,30.86,5.55,captured,setl_20260707_003
pay_000023,ord_000096,2026-07-03T00:14:00,6779.00,upi,0.00,0.00,captured,setl_20260707_003
pay_000024,ord_000113,2026-07-03T14:50:00,2145.99,upi,0.00,0.00,captured,setl_20260707_003
pay_000025,ord_000133,2026-07-03T05:20:00,1855.00,upi,0.00,0.00,captured,setl_20260707_003
pay_000026,ord_000142,2026-07-03T08:16:00,282.99,card,5.66,1.02,captured,setl_20260707_003
pay_000027,ord_000301,2026-07-03T03:41:00,1464.00,netbanking,26.35,4.74,captured,setl_20260707_003
pay_000028,ord_000351,2026-07-02T16:33:00,1076.00,upi,0.00,0.00,captured,setl_20260706_002
pay_000029,ord_000402,2026-07-03T13:38:00,13609.50,upi,0.00,0.00,captured,setl_20260707_003
pay_000030,ord_000467,2026-07-03T01:41:00,819.50,upi,0.00,0.00,captured,setl_20260707_003
pay_000031,ord_000524,2026-07-03T11:07:00,2429.50,card,48.59,8.75,captured,setl_20260707_003
pay_000032,ord_000554,2026-07-03T06:30:00,12068.99,card,241.38,43.45,captured,setl_20260707_003
pay_000033,ord_000580,2026-07-02T16:02:00,789.50,upi,0.00,0.00,captured,setl_20260706_002
pay_000034,ord_000673,2026-07-03T13:36:00,25353.50,upi,0.00,0.00,captured,setl_20260707_003
pay_000035,ord_000699,2026-07-02T21:38:00,1272.00,wallet,25.44,4.58,captured,setl_20260706_002
pay_000036,ord_000712,2026-07-03T11:18:00,6956.99,wallet,139.14,25.05,captured,setl_20260707_003
pay_000037,ord_000746,2026-07-03T00:10:00,2051.99,upi,0.00,0.00,captured,setl_20260707_003
pay_000038,ord_000761,2026-07-03T09:11:00,8383.50,card,167.67,30.18,captured,setl_20260707_003
pay_000039,ord_000776,2026-07-03T14:29:00,4820.00,card,96.40,17.35,captured,setl_20260707_003
pay_000040,ord_000795,2026-07-02T09:12:00,627.00,card,12.54,2.26,captured,setl_20260706_002
pay_000041,ord_000806,2026-07-03T04:06:00,1394.00,upi,0.00,0.00,captured,setl_20260707_003
pay_000042,ord_000832,2026-07-03T02:32:00,7465.00,card,149.30,26.87,captured,setl_20260707_003
pay_000043,ord_000860,2026-07-03T02:52:00,1409.00,upi,0.00,0.00,captured,setl_20260707_003
pay_000044,ord_000887,2026-07-02T22:23:00,703.00,netbanking,12.65,2.28,captured,setl_20260706_002
pay_000045,ord_000990,2026-07-03T00:50:00,3120.00,card,62.40,11.23,captured,setl_20260707_003
pay_000046,ord_000994,2026-07-03T11:44:00,11262.00,card,225.24,40.54,captured,setl_20260707_003
pay_000047,ord_000019,2026-07-04T14:54:00,1295.00,upi,0.00,0.00,captured,setl_20260708_004
pay_000048,ord_000083,2026-07-03T09:45:00,2462.00,card,49.24,8.86,captured,setl_20260707_003
pay_000049,ord_000100,2026-07-03T15:44:00,2328.99,netbanking,41.92,7.55,captured,setl_20260707_003
pay_000050,ord_000224,2026-07-04T03:16:00,1558.00,upi,0.00,0.00,captured,setl_20260708_004
pay_000051,ord_000230,2026-07-04T06:25:00,1376.00,card,27.52,4.95,captured,setl_20260708_004
pay_000052,ord_000262,2026-07-03T20:35:00,2216.00,card,44.32,7.98,captured,setl_20260707_003
pay_000053,ord_000389,2026-07-04T07:25:00,48776.50,card,975.53,175.60,captured,setl_20260708_004
pay_000054,ord_000399,2026-07-03T23:50:00,8276.99,card,165.54,29.80,captured,setl_20260708_004
pay_000055,ord_000403,2026-07-03T19:51:00,1699.00,card,33.98,6.12,captured,setl_20260707_003
pay_000056,ord_000431,2026-07-04T15:40:00,11949.00,upi,0.00,0.00,captured,setl_20260708_004
pay_000057,ord_000449,2026-07-03T22:05:00,996.00,upi,0.00,0.00,captured,setl_20260707_003
pay_000058,ord_000455,2026-07-03T21:59:00,1563.50,wallet,31.27,5.63,captured,setl_20260707_003
pay_000059,ord_000478,2026-07-04T04:03:00,20179.00,wallet,403.58,72.64,captured,setl_20260708_004
pay_000060,ord_000491,2026-07-03T15:54:00,638.00,card,12.76,2.30,captured,setl_20260707_003
pay_000061,ord_000519,2026-07-04T04:32:00,753.50,card,15.07,2.71,captured,setl_20260708_004
pay_000062,ord_000530,2026-07-03T16:41:00,2409.00,upi,0.00,0.00,captured,setl_20260707_003
pay_000063,ord_000616,2026-07-03T20:42:00,60982.99,upi,0.00,0.00,captured,setl_20260707_003
pay_000064,ord_000700,2026-07-03T11:58:00,1829.99,upi,0.00,0.00,captured,setl_20260707_003
pay_000065,ord_000718,2026-07-03T20:22:00,813.00,wallet,16.26,2.93,captured,setl_20260707_003
pay_000066,ord_000719,2026-07-04T14:25:00,14198.50,card,283.97,51.11,captured,setl_20260708_004
pay_000067,ord_000743,2026-07-03T11:32:00,7870.00,upi,0.00,0.00,captured,setl_20260707_003
pay_000068,ord_000753,2026-07-04T13:34:00,887.99,netbanking,15.98,2.88,captured,setl_20260708_004
pay_000069,ord_000820,2026-07-04T03:30:00,1982.00,card,39.64,7.14,captured,setl_20260708_004
pay_000070,ord_000830,2026-07-03T23:57:00,36724.00,card,734.48,132.21,captured,setl_20260708_004
pay_000071,ord_000915,2026-07-03T16:43:00,1486.00,card,29.72,5.35,captured,setl_20260707_003
pay_000072,ord_000984,2026-07-04T02:00:00,27616.00,card,552.32,99.42,captured,setl_20260708_004
