settlement_id,capture_date,settled_on,utr,gross,fee,tax,refunds,chargebacks,withholding,carry_forward_in,carry_forward_out,net
setl_20260703_001,2026-07-01,2026-07-03,ROET047742585917,106732.98,529.98,95.40,0.00,0.00,1067.33,0.00,0.00,105040.27
setl_20260706_002,2026-07-02,2026-07-06,PXSG238223116491,186985.95,187.99,33.85,2021.70,0.00,1869.86,0.00,0.00,182872.55
setl_20260707_003,2026-07-03,2026-07-07,HHIF457988942565,214648.92,1452.46,261.45,197.37,0.00,2146.49,0.00,0.00,210591.15
setl_20260708_004,2026-07-04,2026-07-08,VESX060320203265,209936.97,3432.99,617.95,12116.99,0.00,2099.37,0.00,0.00,191669.67
setl_20260708_005,2026-07-05,2026-07-08,ASPP539673794871,543931.95,8330.72,1499.53,0.00,0.00,5439.32,0.00,0.00,528662.38
setl_20260708_006,2026-07-06,2026-07-08,XIUY855245787158,412900.43,865.25,155.76,0.00,0.00,4129.00,0.00,0.00,407750.42
setl_20260709_007,2026-07-07,2026-07-09,ICZL608213711842,296445.95,3607.32,649.31,25353.50,0.00,2964.46,0.00,0.00,263871.36
setl_20260710_008,2026-07-08,2026-07-10,LJON818268323035,344779.43,6133.83,1104.08,45033.07,0.00,3447.79,0.00,0.00,289060.66
setl_20260713_009,2026-07-09,2026-07-13,QTYE988085838252,121023.98,1257.86,226.41,34474.55,545.99,1210.24,0.00,0.00,83308.93
setl_20260714_010,2026-07-10,2026-07-14,DVFU932896340646,394350.97,3549.45,638.91,0.00,0.00,3943.51,0.00,0.00,386219.10
setl_20260715_011,2026-07-11,2026-07-15,QNPO524014843991,74853.97,1070.54,192.68,40273.83,0.00,748.54,0.00,0.00,32568.38
setl_20260715_012,2026-07-12,2026-07-15,BYNE272362669335,385478.49,712.63,128.29,0.00,0.00,3854.78,0.00,0.00,380782.79
setl_20260715_013,2026-07-13,2026-07-15,CHIE619237245018,100790.48,1482.47,266.85,0.00,0.00,1007.90,0.00,0.00,98033.26
setl_20260716_014,2026-07-14,2026-07-16,JQDY973741897215,123892.45,1208.49,217.53,2258.05,4084.00,1238.92,0.00,0.00,114885.46
setl_20260717_015,2026-07-15,2026-07-17,IBMI176927438119,268229.95,3089.96,556.20,0.00,0.00,2682.30,0.00,0.00,261901.49
setl_20260720_016,2026-07-16,2026-07-20,TLHV766014448564,343819.96,4108.87,739.60,5120.18,0.00,3438.20,0.00,0.00,330413.11
setl_20260721_017,2026-07-17,2026-07-21,LCAD739739641789,63965.45,497.84,89.62,3065.89,0.00,639.65,0.00,0.00,59672.45
setl_20260722_018,2026-07-18,2026-07-22,SMTQ609191911359,255144.98,1692.94,304.74,24270.26,0.00,2551.45,0.00,0.00,226325.59
setl_20260722_019,2026-07-19,2026-07-22,VWTN605779806603,165033.47,1174.59,211.43,0.00,0.00,1650.33,0.00,0.00,161997.12
setl_20260722_020,2026-07-20,2026-07-22,SFAU514607455534,417058.46,790.61,142.31,0.00,0.00,4170.58,0.00,0.00,411954.96
setl_20260723_021,2026-07-21,2026-07-23,OZBK742388565271,810951.95,2316.32,416.94,733.61,0.00,8109.52,0.00,0.00,799375.56
setl_20260724_022,2026-07-22,2026-07-24,KLTR354116597263,324745.97,3180.15,572.42,778.36,0.00,3247.46,0.00,0.00,316967.58
setl_20260727_023,2026-07-23,2026-07-27,IWPL575225013948,1138924.47,13193.10,2374.76,16013.72,0.00,11389.24,0.00,0.00,1095953.65
setl_20260728_024,2026-07-24,2026-07-28,WURJ882691311964,482301.95,5554.45,999.80,773.59,0.00,4823.02,0.00,0.00,470151.09
setl_20260729_025,2026-07-25,2026-07-29,EWKR562614991537,247794.46,3500.88,630.16,0.00,0.00,2477.94,0.00,0.00,241185.48
setl_20260729_026,2026-07-26,2026-07-29,BHRE407333373204,118420.46,970.45,174.70,0.00,0.00,1184.20,0.00,0.00,116091.11
setl_20260729_027,2026-07-27,2026-07-29,HATP768893628969,551783.93,8768.91,1578.40,0.00,0.00,5517.84,0.00,0.00,535918.78
setl_20260730_028,2026-07-28,2026-07-30,MXIW546553585125,217326.93,1498.64,269.75,10600.80,0.00,2173.27,0.00,0.00,202784.47
setl_20260731_029,2026-07-29,2026-07-31,WHZR921878519358,135605.96,1380.46,248.48,3198.01,825.00,1356.06,0.00,0.00,128597.95
setl_20260803_030,2026-07-30,2026-08-03,HOIS079779612087,125333.46,1383.19,248.97,74890.34,0.00,1253.33,0.00,0.00,47557.63
setl_20260804_031,2026-07-31,2026-08-04,RUBL721514940976,400165.45,6317.94,1137.25,2352.59,0.00,4001.65,0.00,0.00,386356.02
