chargeback_id,payment_id,amount,created_at,settlement_id
cb_00001,pay_000307,47576.99,2026-07-20T08:23:00,setl_20260720_016
cb_00002,pay_000336,1173.99,2026-07-29T05:59:00,setl_20260729_025
cb_00003,pay_000524,8252.50,2026-08-14T18:13:00,setl_20260814_043
cb_00004,pay_000575,2694.00,2026-08-15T06:49:00,setl_20260817_044
cb_00005,pay_000666,1444.00,2026-08-10T11:53:00,setl_20260810_037
cb_00006,pay_000692,11617.00,2026-09-16T02:07:00,
cb_00007,pay_000709,516.99,2026-08-28T10:47:00,
cb_00008,pay_000730,1281.00,2026-09-09T15:45:00,
cb_00009,pay_000873,3384.50,2026-08-23T02:17:00,
cb_00010,pay_000923,4266.99,2026-09-13T20:11:00,
cb_00011,pay_000974,1467.99,2026-09-05T01:22:00,
