settlement_id,capture_date,settled_on,utr,gross,fee,tax,refunds,chargebacks,withholding,carry_forward_in,carry_forward_out,net
setl_20260703_001,2026-07-01,2026-07-03,PLUM339747035882,63036.47,797.34,143.52,6920.35,0.00,630.36,0.00,0.00,54544.90
setl_20260706_002,2026-07-02,2026-07-06,PBAU019376918447,411861.44,7595.93,1367.26,0.00,0.00,4118.61,0.00,0.00,398779.64
setl_20260707_003,2026-07-03,2026-07-07,ODHS699480923703,486728.95,1461.99,263.16,0.00,0.00,4867.29,0.00,0.00,480136.51
setl_20260708_004,2026-07-04,2026-07-08,KSOZ935997565572,123149.47,1060.08,190.82,5373.00,0.00,1231.49,0.00,0.00,115294.08
setl_20260708_005,2026-07-05,2026-07-08,ZUUJ689130575101,97994.47,1094.66,197.06,0.00,0.00,979.94,0.00,0.00,95722.81
setl_20260708_006,2026-07-06,2026-07-08,NUER249690482655,91961.98,759.88,136.79,0.00,0.00,919.62,0.00,0.00,90145.69
setl_20260709_007,2026-07-07,2026-07-09,BCGH765213854352,200229.46,1643.63,295.86,0.00,0.00,2002.29,0.00,0.00,196287.68
setl_20260710_008,2026-07-08,2026-07-10,KLMM735437065407,256391.96,4532.96,815.94,2220.99,0.00,2563.92,0.00,0.00,246258.15
setl_20260713_009,2026-07-09,2026-07-13,TGSZ763329258641,132344.48,2348.45,422.73,173255.05,0.00,1323.44,0.00,45005.19,0.00
setl_20260714_010,2026-07-10,2026-07-14,IQCA729423886842,299554.95,3098.66,557.77,0.00,0.00,2995.55,45005.19,0.00,247897.78
setl_20260715_011,2026-07-11,2026-07-15,EOCO692061832583,275008.93,2912.91,524.31,974.00,0.00,2750.09,0.00,0.00,267847.62
setl_20260715_012,2026-07-12,2026-07-15,GPRL085113795991,722171.47,10803.78,1944.69,0.00,0.00,7221.71,0.00,0.00,702201.29
setl_20260715_013,2026-07-13,2026-07-15,UBQO958638526686,406125.95,946.72,170.41,0.00,0.00,4061.26,0.00,0.00,400947.56
setl_20260716_014,2026-07-14,2026-07-16,HQUP740039478411,511820.94,3121.15,561.81,0.00,0.00,5118.21,0.00,0.00,503019.77
setl_20260717_015,2026-07-15,2026-07-17,NOKM199256213852,231394.96,3122.91,562.12,6971.69,0.00,2313.95,0.00,0.00,218424.29
setl_20260720_016,2026-07-16,2026-07-20,NBUI486057293839,259696.97,1701.70,306.29,40430.25,47576.99,2596.97,0.00,0.00,167084.77
setl_20260721_017,2026-07-17,2026-07-21,UWJX186383754395,579284.95,10792.19,1942.59,975.65,0.00,5792.85,0.00,0.00,559781.67
setl_20260722_018,2026-07-18,2026-07-22,KJTT104118728451,168589.95,1273.26,229.17,4135.91,0.00,1685.90,0.00,0.00,161265.71
setl_20260722_019,2026-07-19,2026-07-22,VOCV440830071839,58116.97,452.18,81.38,0.00,0.00,581.17,0.00,0.00,57002.24
setl_20260722_020,2026-07-20,2026-07-22,CHNA698657472916,164864.97,2428.29,437.08,0.00,0.00,1648.65,0.00,0.00,160350.95
setl_20260723_021,2026-07-21,2026-07-23,RQHG782145028821,558700.41,8623.08,1552.17,33924.65,0.00,5587.00,0.00,0.00,509013.51
setl_20260724_022,2026-07-22,2026-07-24,BGEG451000261577,312701.45,2002.81,360.52,367.73,0.00,3127.01,0.00,0.00,306843.38
setl_20260727_023,2026-07-23,2026-07-27,KAZF086810962473,679729.46,8657.31,1558.31,57875.15,0.00,6797.29,0.00,0.00,604841.40
setl_20260728_024,2026-07-24,2026-07-28,RZUT750342810011,321326.96,1175.28,211.55,1203.00,0.00,3213.27,0.00,0.00,315523.86
setl_20260729_025,2026-07-25,2026-07-29,QGEW688348384069,439120.44,7421.92,1335.94,15555.58,1173.99,4391.20,0.00,0.00,409241.81
setl_20260729_026,2026-07-26,2026-07-29,LCPZ996890770353,205455.48,3328.84,599.20,0.00,0.00,2054.55,0.00,0.00,199472.89
setl_20260729_027,2026-07-27,2026-07-29,PSAV741449481397,414185.96,5209.03,937.62,0.00,0.00,4141.86,0.00,0.00,403897.45
setl_20260730_028,2026-07-28,2026-07-30,XBKJ826941969379,157139.48,1438.76,258.98,2148.25,0.00,1571.39,0.00,0.00,151722.10
setl_20260731_029,2026-07-29,2026-07-31,ZNCT867152899652,228182.99,2219.71,399.54,4304.74,0.00,2281.83,0.00,0.00,218977.17
setl_20260803_030,2026-07-30,2026-08-03,UBOT764433158586,214080.00,1608.77,289.57,108425.60,0.00,2140.80,0.00,0.00,101615.26
setl_20260804_031,2026-07-31,2026-08-04,VAVL813350828470,902925.44,1117.54,201.16,4648.87,0.00,9029.25,0.00,0.00,887928.62
setl_20260805_032,2026-08-01,2026-08-05,OPWI881169533378,238545.47,2708.52,487.54,1783.24,0.00,2385.45,0.00,0.00,231180.72
setl_20260805_033,2026-08-02,2026-08-05,EJPL354262531804,111165.45,308.70,55.57,0.00,0.00,1111.65,0.00,0.00,109689.53
setl_20260805_034,2026-08-03,2026-08-05,DLWR247670938335,226692.95,2489.28,448.08,0.00,0.00,2266.93,0.00,0.00,221488.66
setl_20260806_035,2026-08-04,2026-08-06,EZTW925543104050,276213.97,579.74,104.35,20574.99,0.00,2762.14,0.00,0.00,252192.75
setl_20260807_036,2026-08-05,2026-08-07,HQYQ253702341223,207044.97,1018.78,183.38,10596.38,0.00,2070.45,0.00,0.00,193175.98
setl_20260810_037,2026-08-06,2026-08-10,SEWK856811711572,193147.96,1701.74,306.32,74662.76,1444.00,1931.48,0.00,0.00,113101.66
setl_20260811_038,2026-08-07,2026-08-11,QFXO676739545401,372406.47,6813.46,1226.42,103877.34,0.00,3724.06,0.00,0.00,256765.19
setl_20260812_039,2026-08-08,2026-08-12,GMIX109933522070,164466.96,1500.96,270.16,1511.75,0.00,1644.67,0.00,0.00,159539.42
setl_20260812_040,2026-08-09,2026-08-12,GCET134258085161,137582.45,838.48,150.94,0.00,0.00,1375.82,0.00,0.00,135217.21
