bank_row_id,txn_date,narration,credit,debit,balance
bank_000047,2026-07-01,NEFT CR-GTOJ027107428232-CUSTOMER DIRECT TRANSFER,969.50,0.00,5000969.50
bank_000057,2026-07-02,UPI/DR/8656/OFFICE SUPPLIES,0.00,4954.32,4996015.18
bank_000001,2026-07-03,RTGS-PLUM339747035882-RAZORPAYSOFTWARE-MERCHANT SETTLEMENT,52063.38,0.00,5048078.56
bank_000058,2026-07-03,GST PAYMENT CHALLAN 3970,0.00,25712.54,5022366.02
bank_000002,2026-07-06,NEFT-RAZORPAY SOFTWARE PRIVATE LIMITED-PBAU019376918447-SETTLEMENT,398779.64,0.00,5421145.66
bank_000059,2026-07-06,GST PAYMENT CHALLAN 1960,0.00,77817.05,5343328.61
bank_000003,2026-07-07,NEFT-RAZORPAY SOFTWARE PRIVATE LIMITED-ODHS699480923703-SETTLEMENT,480136.51,0.00,5823465.12
bank_000060,2026-07-07,RENT-PROPERTY MGMT-2932,0.00,79712.86,5743752.26
bank_000004,2026-07-08,NEFT CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-KSOZ935997565572,114518.10,0.00,5858270.36
bank_000005,2026-07-08,NEFT-RAZORPAY SOFTWARE PRIVATE LIMITED-ZUUJ689130575101-SETTLEMENT,94977.05,0.00,5953247.41
bank_000006,2026-07-08,NEFT CR-RATN0000088-RAZORPAY SOFTWA,90145.69,0.00,6043393.10
bank_000007,2026-07-09,IMPS/BCGH765213854352/RAZORPAY SOFTWARE/PAYOUT,176274.08,0.00,6219667.18
bank_000056,2026-07-09,NEFT CR-FKBY463800985072-CUSTOMER DIRECT TRANSFER,2055.00,0.00,6221722.18
bank_000008,2026-07-10,NEFT-RAZORPAY SOFTWARE PRIVATE LIMI,243826.71,0.00,6465548.89
bank_000061,2026-07-10,NEFT DR-VENDOR PAYMENT-INV1914,0.00,61867.65,6403681.24
bank_000009,2026-07-13,NEFT-RAZORPAY SOFTWARE PRIVATE LIMI,0.00,0.00,6403681.24
bank_000062,2026-07-13,GST PAYMENT CHALLAN 8040,0.00,105765.47,6297915.77
bank_000010,2026-07-15,NEFT-RAZORPAY SOFTWARE PRIVATE LIMI,247897.78,0.00,6545813.55
bank_000013,2026-07-15,RTGS-UBQO958638526686-RAZORPAYSOFTW,380838.97,0.00,6926652.52
