bank_row_id,txn_date,narration,credit,debit,balance
bank_000056,2026-07-04,NEFT CR-JLLP643288079531-CUSTOMER DIRECT TRANSFER,2247.50,0.00,5002247.50
bank_000002,2026-07-06,NEFT-RAZORPAY SOFTWARE PRIVATE LIMITED-AFHL119621196892-SETTLEMENT,232708.55,0.00,5234956.05
bank_000050,2026-07-06,NEFT CR-OSGJ948275083712-CUSTOMER DIRECT TRANSFER,1917.00,0.00,5236873.05
bank_000003,2026-07-07,NEFT CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-UADD270825670487,298268.49,0.00,5535141.54
bank_000058,2026-07-07,SALARY DISBURSAL AUG-3816,0.00,217109.51,5318032.03
bank_000001,2026-07-08,NEFT CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-IUNQ848711760592,79622.06,0.00,5397654.09
bank_000004,2026-07-08,RTGS-AUDE984466911374-RAZORPAYSOFTW,152574.22,0.00,5550228.31
bank_000005,2026-07-08,NEFT-RAZORPAY SOFTWARE PRIVATE LIMI,92048.65,0.00,5642276.96
bank_000006,2026-07-08,NEFT-RAZORPAY SOFTWARE PRIVATE LIMI,208236.60,0.00,5850513.56
bank_000048,2026-07-08,NEFT CR-KRLV817556471523-CUSTOMER DIRECT TRANSFER,14093.50,0.00,5864607.06
bank_000007,2026-07-09,IMPS/RFRW423667761889/RAZORPAY SOFTWARE/PAYOUT,681036.10,0.00,6545643.16
bank_000054,2026-07-09,NEFT CR-RULH864464216018-CUSTOMER DIRECT TRANSFER,6686.00,0.00,6552329.16
bank_000059,2026-07-09,RENT-PROPERTY MGMT-7038,0.00,58098.68,6494230.48
bank_000008,2026-07-10,NEFT CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-NCSM777721111066,479238.51,0.00,6973468.99
bank_000060,2026-07-10,GST PAYMENT CHALLAN 4453,0.00,78090.40,6895378.59
bank_000047,2026-07-11,NEFT CR-LSAU981671620295-CUSTOMER DIRECT TRANSFER,1527.00,0.00,6896905.59
bank_000009,2026-07-13,NEFT-RAZORPAY SOFTWARE PRIVATE LIMI,209254.23,0.00,7106159.82
bank_000010,2026-07-14,NEFT-RAZORPAY SOFTWARE PRIVATE LIMITED-QSJO069565729962-SETTLEMENT,966737.75,0.00,8072897.57
bank_000061,2026-07-14,RENT-PROPERTY MGMT-3815,0.00,39383.52,8033514.05
bank_000011,2026-07-15,NEFT-RAZORPAY SOFTWARE PRIVATE LIMITED-PSYN992983060274-SETTLEMENT,928006.33,0.00,8961520.38
bank_000012,2026-07-15,NEFT CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-XKXV215093128046,284550.87,0.00,9246071.25
bank_000013,2026-07-15,NEFT-RAZORPAY SOFTWARE PRIVATE LIMITED-USTZ657663134530-SETTLEMENT,108176.91,0.00,9354248.16
bank_000057,2026-07-15,NEFT CR-RHEA315569170039-CUSTOMER DIRECT TRANSFER,397.00,0.00,9354645.16
bank_000014,2026-07-16,IMPS/AVQR450890276242/RAZORPAY SOFTWARE/PAYOUT,183860.51,0.00,9538505.67
bank_000049,2026-07-16,NEFT CR-OCDM233383785143-CUSTOMER DIRECT TRANSFER,2371.50,0.00,9540877.17
bank_000062,2026-07-16,NEFT DR-VENDOR PAYMENT-INV2698,0.00,52163.28,9488713.89
bank_000015,2026-07-17,IMPS/SMZA773966382373/RAZORPAY SOFTWARE/PAYOUT,213019.77,0.00,9701733.66
bank_000055,2026-07-17,NEFT CR-DBGD091482358362-CUSTOMER DIRECT TRANSFER,490.00,0.00,9702223.66
bank_000063,2026-07-17,NEFT DR-VENDOR PAYMENT-INV6227,0.00,41404.67,9660818.99
bank_000051,2026-07-18,NEFT CR-ERCB941143715844-CUSTOMER DIRECT TRANSFER,1951.00,0.00,9662769.99
bank_000016,2026-07-20,NEFT-RAZORPAY SOFTWARE PRIVATE LIMITED-EYEQ378570745049-SETTLEMENT,432803.53,0.00,10095573.52
bank_000064,2026-07-20,NEFT DR-VENDOR PAYMENT-INV2386,0.00,63803.90,10031769.62
bank_000017,2026-07-21,IMPS/UYLY992126605886/RAZORPAY SOFTWARE/PAYOUT,189166.58,0.00,10220936.20
bank_000018,2026-07-22,NEFT CR-RATN0000088-RAZORPAY SOFTWA,49379.65,0.00,10270315.85
bank_000019,2026-07-22,NEFT-RAZORPAY SOFTWARE PRIVATE LIMITED-HQRD743515898085-SETTLEMENT,58005.07,0.00,10328320.92
bank_000020,2026-07-22,NEFT-RAZORPAY SOFTWARE PRIVATE LIMITED-ETTE198155811425-SETTLEMENT,251705.58,0.00,10580026.50
bank_000065,2026-07-22,RENT-PROPERTY MGMT-1517,0.00,77306.52,10502719.98
bank_000021,2026-07-23,NEFT-RAZORPAY SOFTWARE PRIVATE LIMI,128398.42,0.00,10631118.40
bank_000066,2026-07-23,UPI/DR/3261/OFFICE SUPPLIES,0.00,3508.25,10627610.15
bank_000022,2026-07-24,IMPS/EZBE364276676277/RAZORPAY SOFT,182441.15,0.00,10810051.30
bank_000023,2026-07-27,NEFT CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-PVHP528801278549,236550.26,0.00,11046601.56
