settlement_id,capture_date,settled_on,utr,gross,fee,tax,refunds,chargebacks,withholding,carry_forward_in,carry_forward_out,net
setl_20260703_001,2026-07-01,2026-07-03,IUNQ848711760592,82261.95,1540.06,277.21,0.00,0.00,822.62,0.00,0.00,79622.06
setl_20260706_002,2026-07-02,2026-07-06,AFHL119621196892,238990.98,2997.88,539.63,355.01,0.00,2389.91,0.00,0.00,232708.55
setl_20260707_003,2026-07-03,2026-07-07,UADD270825670487,313438.90,3324.70,598.44,2460.00,0.00,3134.39,0.00,0.00,303921.37
setl_20260708_004,2026-07-04,2026-07-08,AUDE984466911374,225536.45,2695.48,485.18,67526.21,0.00,2255.36,0.00,0.00,152574.22
setl_20260708_005,2026-07-05,2026-07-08,JUBL977985615505,135181.96,2043.65,367.85,0.00,0.00,1351.82,0.00,0.00,131418.64
setl_20260708_006,2026-07-06,2026-07-08,RINF658627613084,212086.49,1056.56,190.18,0.00,0.00,2120.86,0.00,0.00,208718.89
setl_20260709_007,2026-07-07,2026-07-09,RFRW423667761889,711524.96,9961.78,1793.12,11618.71,0.00,7115.25,0.00,0.00,681036.10
setl_20260710_008,2026-07-08,2026-07-10,NCSM777721111066,493580.45,7156.52,1288.17,961.45,0.00,4935.80,0.00,0.00,479238.51
setl_20260713_009,2026-07-09,2026-07-13,ZGZY251034651576,264901.46,3277.25,589.90,49131.07,0.00,2649.01,0.00,0.00,209254.23
setl_20260714_010,2026-07-10,2026-07-14,QSJO069565729962,1036182.46,10301.47,1854.27,46927.15,0.00,10361.82,0.00,0.00,966737.75
setl_20260715_011,2026-07-11,2026-07-15,PSYN992983060274,940788.41,2540.86,457.34,376.00,0.00,9407.88,0.00,0.00,928006.33
setl_20260715_012,2026-07-12,2026-07-15,XKXV215093128046,288263.97,703.78,126.68,0.00,0.00,2882.64,0.00,0.00,284550.87
setl_20260715_013,2026-07-13,2026-07-15,USTZ657663134530,110271.93,840.92,151.38,0.00,0.00,1102.72,0.00,0.00,108176.91
setl_20260716_014,2026-07-14,2026-07-16,AVQR450890276242,189480.95,1538.67,276.97,1909.99,0.00,1894.81,0.00,0.00,183860.51
setl_20260717_015,2026-07-15,2026-07-17,SMZA773966382373,220656.46,1823.52,328.24,1159.87,1460.50,2206.56,0.00,0.00,213677.77
setl_20260720_016,2026-07-16,2026-07-20,EYEQ378570745049,450820.93,2810.28,505.84,10193.07,0.00,4508.21,0.00,0.00,432803.53
setl_20260721_017,2026-07-17,2026-07-21,UYLY992126605886,202736.96,2447.82,440.59,8223.60,0.00,2027.37,0.00,0.00,189597.58
setl_20260722_018,2026-07-18,2026-07-22,ZUEU139281410066,57285.98,700.64,126.12,6506.71,0.00,572.86,0.00,0.00,49379.65
setl_20260722_019,2026-07-19,2026-07-22,HQRD743515898085,59203.47,513.87,92.50,0.00,0.00,592.03,0.00,0.00,58005.07
setl_20260722_020,2026-07-20,2026-07-22,ETTE198155811425,256331.96,1748.34,314.72,0.00,0.00,2563.32,0.00,0.00,251705.58
setl_20260723_021,2026-07-21,2026-07-23,LDOJ949450358419,132846.45,1915.34,344.76,859.47,0.00,1328.46,0.00,0.00,128398.42
setl_20260724_022,2026-07-22,2026-07-24,EZBE364276676277,188036.95,1406.77,253.22,2055.44,0.00,1880.37,0.00,0.00,182441.15
setl_20260727_023,2026-07-23,2026-07-27,PVHP528801278549,257726.48,2373.93,427.33,15797.70,0.00,2577.26,0.00,0.00,236550.26
setl_20260728_024,2026-07-24,2026-07-28,KNAZ864670096842,143723.44,1133.88,204.11,1848.80,0.00,1437.23,0.00,0.00,139099.42
setl_20260729_025,2026-07-25,2026-07-29,ZBSX418586957363,61995.46,608.87,109.59,2056.11,0.00,619.95,0.00,0.00,58600.94
setl_20260729_026,2026-07-26,2026-07-29,LDHQ089741160744,230196.47,4109.83,739.76,0.00,0.00,2301.96,0.00,0.00,223044.92
setl_20260729_027,2026-07-27,2026-07-29,PQQI018570163138,585663.45,10431.44,1877.67,0.00,0.00,5856.63,0.00,0.00,567497.71
setl_20260730_028,2026-07-28,2026-07-30,GKIP359432391050,212446.93,1855.89,334.05,6014.62,0.00,2124.47,0.00,0.00,202117.90
setl_20260731_029,2026-07-29,2026-07-31,OLFQ001938953056,230084.97,2631.38,473.63,10371.54,0.00,2300.85,0.00,0.00,214307.57
setl_20260803_030,2026-07-30,2026-08-03,RTAY441621342106,231402.43,2046.25,368.32,49926.27,4981.00,2314.02,0.00,0.00,171766.57
setl_20260804_031,2026-07-31,2026-08-04,RWVB155730064047,136459.98,1479.42,266.30,4732.78,0.00,1364.60,0.00,0.00,128616.88
setl_20260805_032,2026-08-01,2026-08-05,NRMX399858085635,130591.96,1950.26,351.06,3795.10,0.00,1305.92,0.00,0.00,123189.62
setl_20260805_033,2026-08-02,2026-08-05,RUKF033583826697,422618.95,7237.60,1302.77,0.00,0.00,4226.19,0.00,0.00,409852.39
setl_20260805_034,2026-08-03,2026-08-05,QOJG190218855839,189222.42,1964.08,353.53,0.00,0.00,1892.22,0.00,0.00,185012.59
setl_20260806_035,2026-08-04,2026-08-06,HQJD696717843508,143319.47,2562.99,461.34,5559.12,431.00,1433.19,0.00,0.00,132871.83
setl_20260807_036,2026-08-05,2026-08-07,GDVQ846873358149,133858.94,2027.42,364.93,7166.55,4306.50,1338.59,0.00,0.00,118654.95
setl_20260810_037,2026-08-06,2026-08-10,BSTN959205185601,136319.47,752.12,135.39,96726.46,0.00,1363.19,0.00,0.00,37342.31
setl_20260811_038,2026-08-07,2026-08-11,PASF190314693671,222108.47,1249.54,224.92,9087.00,0.00,2221.08,0.00,0.00,209325.93
setl_20260812_039,2026-08-08,2026-08-12,CAPI231368366436,103578.96,507.18,91.30,6507.00,1851.00,1035.79,0.00,0.00,93586.69
setl_20260812_040,2026-08-09,2026-08-12,KYYO184938157893,152944.96,1344.57,242.01,0.00,0.00,1529.45,0.00,0.00,149828.93
setl_20260812_041,2026-08-10,2026-08-12,ROKJ609021124498,219841.98,3470.75,624.74,0.00,0.00,2198.42,0.00,0.00,213548.07
setl_20260813_042,2026-08-11,2026-08-13,QHBI593736807907,243641.45,1952.24,351.40,28303.48,57817.00,2436.41,0.00,0.00,152780.92
setl_20260814_043,2026-08-12,2026-08-14,HMRT554923667768,716960.93,3845.72,692.24,2626.75,0.00,7169.61,0.00,0.00,702626.61
setl_20260817_044,2026-08-13,2026-08-17,KQBB183379530968,278904.46,2054.03,369.72,11176.98,0.00,2789.04,0.00,0.00,262514.69
setl_20260818_045,2026-08-14,2026-08-18,EOLH656006944943,207317.95,3706.75,667.21,1879.71,0.00,2073.18,0.00,0.00,198991.10
setl_20260819_046,2026-08-15,2026-08-19,JAWE809027226572,247435.96,3367.89,606.23,39413.25,0.00,2474.36,0.00,0.00,201574.23
