order_id,customer_id,order_date,amount,status,currency
ord_000047,cust_00230,2026-07-01,812.00,placed,INR
ord_000055,cust_00028,2026-07-01,1310.00,placed,INR
ord_000105,cust_00108,2026-07-01,61280.00,placed,INR
ord_000150,cust_00120,2026-07-01,272.99,placed,INR
ord_000163,cust_00234,2026-07-01,1927.00,placed,INR
ord_000181,cust_00161,2026-07-01,1909.99,placed,INR
ord_000309,cust_00154,2026-07-01,2738.00,placed,INR
ord_000358,cust_00218,2026-07-01,716.00,placed,INR
ord_000370,cust_00082,2026-07-01,1819.50,placed,INR
ord_000501,cust_00192,2026-07-01,11448.00,placed,INR
ord_000580,cust_00084,2026-07-01,8969.99,placed,INR
ord_000626,cust_00155,2026-07-01,1455.00,placed,INR
ord_000641,cust_00045,2026-07-01,5590.00,placed,INR
ord_000672,cust_00131,2026-07-01,2009.00,placed,INR
ord_000766,cust_00039,2026-07-01,647.00,placed,INR
ord_000808,cust_00120,2026-07-01,11391.99,placed,INR
ord_000819,cust_00180,2026-07-01,1527.00,placed,INR
ord_000835,cust_00044,2026-07-01,59236.00,placed,INR
ord_000907,cust_00111,2026-07-01,1943.00,placed,INR
ord_000916,cust_00083,2026-07-01,1243.00,placed,INR
ord_000938,cust_00075,2026-07-01,2475.00,placed,INR
ord_000968,cust_00240,2026-07-01,294.00,placed,INR
ord_000987,cust_00038,2026-07-01,55500.99,placed,INR
ord_000004,cust_00111,2026-07-02,258.00,placed,INR
ord_000065,cust_00147,2026-07-02,46584.99,placed,INR
ord_000069,cust_00246,2026-07-02,786.00,placed,INR
ord_000072,cust_00156,2026-07-02,1494.99,placed,INR
ord_000143,cust_00185,2026-07-02,6065.99,placed,INR
ord_000265,cust_00173,2026-07-02,8082.00,placed,INR
ord_000266,cust_00135,2026-07-02,11207.00,placed,INR
ord_000364,cust_00173,2026-07-02,10226.00,placed,INR
ord_000412,cust_00055,2026-07-02,3534.50,placed,INR
ord_000515,cust_00029,2026-07-02,2105.99,placed,INR
ord_000522,cust_00201,2026-07-02,1726.00,placed,INR
ord_000534,cust_00229,2026-07-02,1761.00,placed,INR
ord_000559,cust_00124,2026-07-02,47217.00,placed,INR
ord_000598,cust_00081,2026-07-02,605.99,placed,INR
ord_000599,cust_00211,2026-07-02,1971.00,placed,INR
ord_000607,cust_00002,2026-07-02,2024.00,placed,INR
ord_000608,cust_00109,2026-07-02,772.00,placed,INR
ord_000615,cust_00200,2026-07-02,10331.00,placed,INR
ord_000625,cust_00130,2026-07-02,11469.50,placed,INR
ord_000633,cust_00074,2026-07-02,43230.00,placed,INR
ord_000653,cust_00193,2026-07-02,1640.00,placed,INR
ord_000698,cust_00116,2026-07-02,10396.00,placed,INR
ord_000719,cust_00002,2026-07-02,2277.50,placed,INR
ord_000763,cust_00142,2026-07-02,14577.00,placed,INR
ord_000822,cust_00034,2026-07-02,1281.00,placed,INR
ord_000862,cust_00042,2026-07-02,1907.00,placed,INR
ord_000873,cust_00243,2026-07-02,1730.00,placed,INR
ord_000887,cust_00065,2026-07-02,2387.99,placed,INR
ord_000933,cust_00013,2026-07-02,1499.00,placed,INR
ord_000934,cust_00038,2026-07-02,1201.99,placed,INR
ord_000951,cust_00197,2026-07-02,7798.50,placed,INR
