order_id,customer_id,order_date,amount,status,currency
ord_000024,cust_00150,2026-07-01,8028.00,placed,INR
ord_000040,cust_00029,2026-07-01,1028.00,placed,INR
ord_000084,cust_00145,2026-07-01,69896.00,placed,INR
ord_000087,cust_00239,2026-07-01,10740.50,placed,INR
ord_000100,cust_00148,2026-07-01,1002.00,placed,INR
ord_000123,cust_00111,2026-07-01,7200.00,placed,INR
ord_000135,cust_00087,2026-07-01,14519.50,placed,INR
ord_000204,cust_00098,2026-07-01,1486.00,placed,INR
ord_000242,cust_00019,2026-07-01,263.00,placed,INR
ord_000322,cust_00204,2026-07-01,9573.99,placed,INR
ord_000323,cust_00088,2026-07-01,1752.00,placed,INR
ord_000375,cust_00128,2026-07-01,4216.00,placed,INR
ord_000383,cust_00014,2026-07-01,1466.99,placed,INR
ord_000440,cust_00048,2026-07-01,8608.99,placed,INR
ord_000468,cust_00132,2026-07-01,20931.00,placed,INR
ord_000577,cust_00246,2026-07-01,988.00,placed,INR
ord_000580,cust_00238,2026-07-01,4264.99,placed,INR
ord_000589,cust_00231,2026-07-01,11416.99,placed,INR
ord_000599,cust_00188,2026-07-01,1008.50,placed,INR
ord_000763,cust_00157,2026-07-01,12786.99,placed,INR
ord_000787,cust_00215,2026-07-01,1241.00,placed,INR
ord_000857,cust_00043,2026-07-01,1892.00,placed,INR
ord_000936,cust_00041,2026-07-01,666.00,placed,INR
ord_000948,cust_00027,2026-07-01,1181.99,placed,INR
ord_000045,cust_00027,2026-07-02,3738.99,placed,INR
ord_000104,cust_00092,2026-07-02,73317.50,placed,INR
ord_000106,cust_00046,2026-07-02,1606.99,placed,INR
ord_000183,cust_00180,2026-07-02,907.00,placed,INR
ord_000217,cust_00066,2026-07-02,568.00,placed,INR
ord_000307,cust_00019,2026-07-02,12043.99,placed,INR
ord_000411,cust_00130,2026-07-02,7533.00,placed,INR
ord_000438,cust_00078,2026-07-02,8626.00,placed,INR
ord_000490,cust_00241,2026-07-02,5961.00,placed,INR
ord_000521,cust_00144,2026-07-02,231.00,placed,INR
ord_000613,cust_00031,2026-07-02,6143.00,placed,INR
ord_000644,cust_00073,2026-07-02,2114.00,placed,INR
ord_000659,cust_00071,2026-07-02,1879.99,placed,INR
ord_000677,cust_00102,2026-07-02,70602.00,placed,INR
ord_000757,cust_00215,2026-07-02,2378.50,placed,INR
ord_000768,cust_00225,2026-07-02,1096.00,placed,INR
ord_000798,cust_00240,2026-07-02,51205.00,placed,INR
ord_000914,cust_00241,2026-07-02,2041.00,placed,INR
ord_000924,cust_00081,2026-07-02,33966.00,placed,INR
ord_000960,cust_00132,2026-07-02,1698.00,placed,INR
