refund_id,payment_id,amount,created_at,settlement_id
rfnd_000001,pay_000018,1008.50,2026-07-04T02:08:00,setl_20260706_002
rfnd_000002,pay_000058,396.42,2026-07-24T04:24:00,setl_20260724_022
rfnd_000003,pay_000062,285.97,2026-07-31T13:13:00,setl_20260731_029
rfnd_000004,pay_000073,1553.00,2026-07-24T16:24:00,setl_20260724_022
rfnd_000005,pay_000092,26171.79,2026-07-24T08:23:00,setl_20260724_022
rfnd_000006,pay_000099,93.87,2026-07-16T23:22:00,setl_20260716_014
rfnd_000007,pay_000122,731.80,2026-07-27T12:22:00,setl_20260727_023
rfnd_000008,pay_000126,2209.33,2026-07-27T14:25:00,setl_20260727_023
rfnd_000009,pay_000133,777.21,2026-07-20T19:23:00,setl_20260720_016
rfnd_000010,pay_000167,10380.59,2026-07-24T20:03:00,setl_20260724_022
rfnd_000011,pay_000172,1720.49,2026-07-29T02:40:00,setl_20260729_025
rfnd_000012,pay_000188,8801.10,2026-07-23T12:05:00,setl_20260723_021
rfnd_000013,pay_000193,54.66,2026-07-17T05:20:00,setl_20260717_015
rfnd_000014,pay_000207,8526.69,2026-07-17T00:16:00,setl_20260717_015
rfnd_000015,pay_000218,18808.29,2026-07-30T15:38:00,setl_20260730_028
rfnd_000016,pay_000225,572.13,2026-07-15T17:18:00,setl_20260715_011
rfnd_000017,pay_000226,121225.43,2026-07-19T02:59:00,setl_20260720_016
rfnd_000018,pay_000232,825.76,2026-08-01T22:30:00,setl_20260803_030
rfnd_000019,pay_000240,391.50,2026-08-05T13:03:00,setl_20260805_032
rfnd_000020,pay_000244,1397.28,2026-07-16T20:42:00,setl_20260716_014
rfnd_000021,pay_000256,318.70,2026-07-27T06:49:00,setl_20260727_023
rfnd_000022,pay_000257,1180.02,2026-07-24T02:04:00,setl_20260724_022
rfnd_000023,pay_000262,12404.00,2026-07-27T15:46:00,setl_20260727_023
rfnd_000024,pay_000263,654.00,2026-08-05T16:25:00,setl_20260805_032
rfnd_000025,pay_000268,368.71,2026-08-07T18:24:00,setl_20260807_036
rfnd_000026,pay_000271,528.00,2026-07-25T05:34:00,setl_20260727_023
rfnd_000027,pay_000272,1344.50,2026-07-20T18:24:00,setl_20260720_016
rfnd_000028,pay_000274,117.09,2026-08-06T19:27:00,setl_20260806_035
rfnd_000029,pay_000278,12983.00,2026-07-24T04:45:00,setl_20260724_022
rfnd_000030,pay_000288,304.50,2026-07-27T21:52:00,setl_20260727_023
rfnd_000031,pay_000295,7186.41,2026-08-02T10:33:00,setl_20260803_030
rfnd_000032,pay_000296,1119.33,2026-07-17T14:29:00,setl_20260717_015
rfnd_000033,pay_000304,114.69,2026-07-22T22:15:00,setl_20260722_018
rfnd_000034,pay_000316,299.81,2026-07-19T08:58:00,setl_20260720_016
rfnd_000035,pay_000317,388.81,2026-07-20T02:11:00,setl_20260720_016
rfnd_000036,pay_000323,8286.00,2026-07-31T20:23:00,setl_20260731_029
rfnd_000037,pay_000344,3446.22,2026-08-10T12:07:00,setl_20260810_037
rfnd_000038,pay_000348,6977.28,2026-07-31T07:53:00,setl_20260731_029
rfnd_000039,pay_000356,25605.86,2026-07-20T05:36:00,setl_20260720_016
rfnd_000040,pay_000388,953.75,2026-08-04T16:37:00,setl_20260804_031
rfnd_000041,pay_000391,370.03,2026-07-28T17:35:00,setl_20260728_024
rfnd_000042,pay_000400,2220.11,2026-07-30T18:33:00,setl_20260730_028
rfnd_000043,pay_000413,313756.50,2026-08-03T11:40:00,setl_20260803_030
rfnd_000044,pay_000429,296.29,2026-08-11T10:15:00,setl_20260811_038
rfnd_000045,pay_000433,699.00,2026-07-27T22:09:00,setl_20260727_023
rfnd_000046,pay_000444,2655.18,2026-08-15T04:15:00,setl_20260817_044
rfnd_000047,pay_000458,165.70,2026-07-24T22:53:00,setl_20260724_022
rfnd_000048,pay_000459,3038.43,2026-07-24T03:12:00,setl_20260724_022
rfnd_000049,pay_000466,1185.59,2026-07-30T23:39:00,setl_20260730_028
rfnd_000050,pay_000470,1235.00,2026-07-24T09:54:00,setl_20260724_022
rfnd_000051,pay_000477,136.51,2026-08-04T04:13:00,setl_20260804_031
rfnd_000052,pay_000492,398.78,2026-08-15T12:43:00,setl_20260817_044
rfnd_000053,pay_000501,11224.00,2026-07-28T02:44:00,setl_20260728_024
rfnd_000054,pay_000504,1501.37,2026-08-12T21:08:00,setl_20260812_039
rfnd_000055,pay_000514,989.37,2026-08-08T03:21:00,setl_20260810_037
rfnd_000056,pay_000531,323.07,2026-08-15T22:02:00,setl_20260817_044
rfnd_000057,pay_000545,566.23,2026-08-14T20:08:00,setl_20260814_043
rfnd_000058,pay_000555,866.51,2026-08-19T23:36:00,setl_20260819_046
rfnd_000059,pay_000557,10817.50,2026-08-01T22:31:00,setl_20260803_030
rfnd_000060,pay_000566,5573.36,2026-08-17T21:44:00,setl_20260817_044
rfnd_000061,pay_000569,4409.63,2026-08-16T21:27:00,setl_20260817_044
rfnd_000062,pay_000572,7410.94,2026-07-30T06:25:00,setl_20260730_028
rfnd_000063,pay_000577,587.25,2026-08-05T20:29:00,setl_20260805_032
rfnd_000064,pay_000594,1081.00,2026-08-20T01:43:00,
rfnd_000065,pay_000602,10975.36,2026-08-08T01:43:00,setl_20260810_037
rfnd_000066,pay_000604,469.44,2026-07-29T16:08:00,setl_20260729_025
rfnd_000067,pay_000611,1344.00,2026-08-18T23:16:00,setl_20260818_045
rfnd_000068,pay_000645,196.57,2026-08-14T14:06:00,setl_20260814_043
rfnd_000069,pay_000657,1281.76,2026-08-25T20:50:00,
rfnd_000070,pay_000680,153.74,2026-08-05T13:39:00,setl_20260805_032
rfnd_000071,pay_000695,1254.00,2026-08-26T03:36:00,
rfnd_000072,pay_000696,36857.48,2026-08-12T01:05:00,setl_20260812_039
rfnd_000073,pay_000710,988.11,2026-08-18T04:02:00,setl_20260818_045
rfnd_000074,pay_000722,5396.01,2026-08-21T13:12:00,
rfnd_000075,pay_000733,87.24,2026-08-12T01:39:00,setl_20260812_039
rfnd_000076,pay_000743,79113.00,2026-08-21T04:08:00,
rfnd_000077,pay_000744,48.29,2026-08-09T18:33:00,setl_20260810_037
rfnd_000078,pay_000756,1646.79,2026-08-13T17:37:00,setl_20260813_042
rfnd_000079,pay_000769,237.93,2026-08-22T09:07:00,
rfnd_000080,pay_000773,29135.00,2026-08-09T19:24:00,setl_20260810_037
rfnd_000081,pay_000774,2330.00,2026-08-17T19:47:00,setl_20260817_044
rfnd_000082,pay_000778,330.02,2026-08-10T10:16:00,setl_20260810_037
rfnd_000083,pay_000779,430.27,2026-08-23T00:14:00,
rfnd_000084,pay_000782,3632.00,2026-08-08T14:07:00,setl_20260810_037
rfnd_000085,pay_000824,1927.00,2026-08-16T11:42:00,setl_20260817_044
rfnd_000086,pay_000846,286.82,2026-09-01T03:07:00,
