bank_row_id,txn_date,narration,credit,debit,balance
bank_000054,2026-07-01,NEFT DR-VENDOR PAYMENT-INV5371,0.00,64424.81,4935575.19
bank_000001,2026-07-03,NEFT-RAZORPAY SOFTWARE PRIVATE LIMITED-FMLO542625763184-SETTLEMENT,95503.15,0.00,5031078.34
bank_000044,2026-07-04,NEFT CR-RFPV044578246768-CUSTOMER DIRECT TRANSFER,4045.00,0.00,5035123.34
bank_000046,2026-07-05,NEFT CR-MLHH147867597719-CUSTOMER DIRECT TRANSFER,934.99,0.00,5036058.33
bank_000002,2026-07-06,NEFT CR-RATN0000088-RAZORPAY SOFTWA,197509.42,0.00,5233567.75
bank_000003,2026-07-07,NEFT-RAZORPAY SOFTWARE PRIVATE LIMITED-OUGU741948274049-SETTLEMENT,264981.07,0.00,5498548.82
bank_000055,2026-07-07,NEFT DR-VENDOR PAYMENT-INV8947,0.00,79697.96,5418850.86
bank_000004,2026-07-08,NEFT-RAZORPAY SOFTWARE PRIVATE LIMITED-IAOS883703999671-SETTLEMENT,47839.01,0.00,5466689.87
bank_000005,2026-07-08,NEFT-RAZORPAY SOFTWARE PRIVATE LIMITED-OWMB793061219334-SETTLEMENT,132501.08,0.00,5599190.95
bank_000006,2026-07-08,IMPS/FJIQ393369487791/RAZORPAY SOFTWARE/PAYOUT,172017.94,0.00,5771208.89
bank_000007,2026-07-09,IMPS/GBMY877006028139/RAZORPAY SOFT,130409.70,0.00,5901618.59
bank_000056,2026-07-09,UPI/DR/7347/OFFICE SUPPLIES,0.00,4450.54,5897168.05
bank_000008,2026-07-10,IMPS/KMEB770745720802/RAZORPAY SOFTWARE/PAYOUT,44640.09,0.00,5941808.14
bank_000057,2026-07-10,NEFT DR-VENDOR PAYMENT-INV9312,0.00,45144.34,5896663.80
bank_000009,2026-07-13,IMPS/JCPW265407485279/RAZORPAY SOFTWARE/PAYOUT,191184.75,0.00,6087848.55
bank_000058,2026-07-13,GST PAYMENT CHALLAN 4867,0.00,26917.34,6060931.21
bank_000010,2026-07-14,NEFT CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-MDSM507200332875,178641.02,0.00,6239572.23
bank_000059,2026-07-14,RENT-PROPERTY MGMT-6795,0.00,72874.08,6166698.15
bank_000011,2026-07-15,NEFT CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-JCLY786222335580,211988.12,0.00,6378686.27
bank_000012,2026-07-15,RTGS-UJKO644364709170-RAZORPAYSOFTW,635365.45,0.00,7014051.72
bank_000053,2026-07-15,NEFT CR-XQDN409713456479-CUSTOMER DIRECT TRANSFER,11146.99,0.00,7025198.71
bank_000060,2026-07-15,SALARY DISBURSAL AUG-9280,0.00,227068.95,6798129.76
bank_000013,2026-07-17,IMPS/SXIB404763188442/RAZORPAY SOFT,608118.14,0.00,7406247.90
bank_000014,2026-07-17,NEFT CR-RATN0000088-RAZORPAY SOFTWA,261995.95,0.00,7668243.85
bank_000051,2026-07-17,NEFT CR-XIZG805770032124-CUSTOMER DIRECT TRANSFER,881.00,0.00,7669124.85
bank_000061,2026-07-17,GST PAYMENT CHALLAN 4561,0.00,117783.54,7551341.31
bank_000015,2026-07-20,RTGS-KSSR776315119051-RAZORPAYSOFTW,6162.64,0.00,7557503.95
bank_000062,2026-07-20,SALARY DISBURSAL AUG-4482,0.00,261598.92,7295905.03
bank_000017,2026-07-22,RTGS-IEVX637120710795-RAZORPAYSOFTWARE-MERCHANT SETTLEMENT,585138.03,0.00,7881043.06
bank_000018,2026-07-22,NEFT CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-MRAA420390279615,844666.59,0.00,8725709.65
bank_000019,2026-07-23,NEFT CR-RATN0000088-RAZORPAY SOFTWA,544049.28,0.00,9269758.93
bank_000043,2026-07-23,NEFT CR-JHJV820355481256-CUSTOMER DIRECT TRANSFER,257.99,0.00,9270016.92
bank_000063,2026-07-23,UPI/DR/5827/OFFICE SUPPLIES,0.00,2747.93,9267268.99
bank_000016,2026-07-24,IMPS/QKVV611029618764/RAZORPAY SOFTWARE/PAYOUT,245969.99,0.00,9513238.98
bank_000020,2026-07-24,NEFT-RAZORPAY SOFTWARE PRIVATE LIMI,347205.56,0.00,9860444.54
bank_000064,2026-07-24,GST PAYMENT CHALLAN 8349,0.00,87713.60,9772730.94
bank_000021,2026-07-27,NEFT-RAZORPAY SOFTWARE PRIVATE LIMITED-CMUA218564851246-SETTLEMENT,46316.20,0.00,9819047.14
bank_000065,2026-07-27,RENT-PROPERTY MGMT-9387,0.00,66239.03,9752808.11
bank_000022,2026-07-28,RTGS-KFHS453785362267-RAZORPAYSOFTWARE-MERCHANT SETTLEMENT,151939.72,0.00,9904747.83
bank_000023,2026-07-29,IMPS/YFUH103910182561/RAZORPAY SOFTWARE/PAYOUT,147687.86,0.00,10052435.69
bank_000024,2026-07-29,NEFT CR-RATN0000088-RAZORPAY SOFTWA,628127.59,0.00,10680563.28
bank_000025,2026-07-29,RTGS-ZUEO406548406772-RAZORPAYSOFTWARE-MERCHANT SETTLEMENT,350949.40,0.00,11031512.68
