settlement_id,capture_date,settled_on,utr,gross,fee,tax,refunds,chargebacks,withholding,carry_forward_in,carry_forward_out,net
setl_20260703_001,2026-07-01,2026-07-03,LDGG798644056931,96004.00,889.58,160.12,0.00,0.00,960.04,0.00,0.00,93994.26
setl_20260706_002,2026-07-02,2026-07-06,RHSY538450950037,93639.97,922.01,165.96,5154.31,0.00,936.40,0.00,0.00,86461.29
setl_20260707_003,2026-07-03,2026-07-07,ANMH889978907405,151405.48,2281.14,410.62,0.00,0.00,1514.05,0.00,0.00,147199.67
setl_20260708_004,2026-07-04,2026-07-08,BPAH962280458165,272720.94,3900.10,702.03,91872.16,0.00,2727.21,0.00,0.00,173519.44
setl_20260708_005,2026-07-05,2026-07-08,ISWC240387772807,316984.48,859.86,154.79,0.00,0.00,3169.84,0.00,0.00,312799.99
setl_20260708_006,2026-07-06,2026-07-08,RENG741961644058,409107.42,6091.84,1096.52,0.00,0.00,4091.07,0.00,0.00,397827.99
setl_20260709_007,2026-07-07,2026-07-09,GONM460988549107,208838.98,1900.53,342.09,1050.52,0.00,2088.39,0.00,0.00,203457.45
setl_20260710_008,2026-07-08,2026-07-10,YAYA700865403390,600685.94,7299.41,1313.88,0.00,0.00,6006.86,0.00,0.00,586065.79
setl_20260713_009,2026-07-09,2026-07-13,FMKD484888005970,195118.94,1773.78,319.28,5189.64,0.00,1951.19,0.00,0.00,185885.05
setl_20260714_010,2026-07-10,2026-07-14,ROJM859445680808,293834.50,4131.99,743.75,0.00,0.00,2938.35,0.00,0.00,286020.41
setl_20260715_011,2026-07-11,2026-07-15,AXOV447897278852,96371.43,1383.46,249.03,5913.18,0.00,963.71,0.00,0.00,87862.05
setl_20260715_012,2026-07-12,2026-07-15,OAJG333843844991,108545.98,1095.05,197.10,0.00,0.00,1085.46,0.00,0.00,106168.37
setl_20260715_013,2026-07-13,2026-07-15,BPNK698138012563,342029.44,2663.84,479.49,0.00,0.00,3420.29,0.00,0.00,335465.82
setl_20260716_014,2026-07-14,2026-07-16,GLAG579724748443,458977.47,6669.93,1200.58,51940.41,0.00,4589.77,0.00,0.00,394576.78
setl_20260717_015,2026-07-15,2026-07-17,QHYO676703318394,220881.48,2307.09,415.26,0.00,0.00,2208.81,0.00,0.00,215950.32
setl_20260720_016,2026-07-16,2026-07-20,LQQY049445028772,199323.93,1034.89,186.28,12933.12,0.00,1993.24,0.00,0.00,183176.40
setl_20260721_017,2026-07-17,2026-07-21,GOJM101426564143,163850.46,1179.74,212.34,0.00,0.00,1638.50,0.00,0.00,160819.88
setl_20260722_018,2026-07-18,2026-07-22,HCJI410421857026,264096.47,3181.27,572.63,0.00,0.00,2640.96,0.00,0.00,257701.61
setl_20260722_019,2026-07-19,2026-07-22,OFNP511663914475,188413.47,2513.88,452.51,0.00,0.00,1884.13,0.00,0.00,183562.95
setl_20260722_020,2026-07-20,2026-07-22,DJYW679508854722,407577.98,7199.66,1295.94,0.00,0.00,4075.78,0.00,0.00,395006.60
setl_20260723_021,2026-07-21,2026-07-23,JKGN458658848309,408197.97,6432.15,1157.79,17041.00,0.00,4081.98,0.00,0.00,379485.05
setl_20260724_022,2026-07-22,2026-07-24,URUP598779676369,131273.43,2228.40,401.11,4454.62,0.00,1312.73,0.00,0.00,122876.57
setl_20260727_023,2026-07-23,2026-07-27,FVMM187839321878,151881.45,2007.23,361.30,10627.36,2405.00,1518.81,0.00,0.00,134961.75
setl_20260728_024,2026-07-24,2026-07-28,HFHN772193798293,199571.96,2404.59,432.82,33348.60,0.00,1995.72,0.00,0.00,161390.23
setl_20260729_025,2026-07-25,2026-07-29,HKJG972176415678,186080.44,2533.45,456.03,0.00,0.00,1860.80,0.00,0.00,181230.16
setl_20260729_026,2026-07-26,2026-07-29,VWUG021870839488,515158.44,2024.99,364.52,0.00,0.00,5151.58,0.00,0.00,507617.35
setl_20260729_027,2026-07-27,2026-07-29,NLWM023652536550,568650.94,4879.50,878.31,0.00,0.00,5686.51,0.00,0.00,557206.62
setl_20260730_028,2026-07-28,2026-07-30,FPJG213622170272,48093.98,645.15,116.12,53067.82,6668.00,480.94,0.00,12884.05,0.00
setl_20260731_029,2026-07-29,2026-07-31,XTMS746129915988,250288.93,4136.19,744.52,7065.49,0.00,2502.89,12884.05,0.00,222955.79
setl_20260803_030,2026-07-30,2026-08-03,KRZV892524407426,386021.92,1955.05,351.89,19296.14,11026.00,3860.22,0.00,0.00,349532.62
