bank_row_id,txn_date,narration,credit,debit,balance
bank_000057,2026-07-02,NEFT DR-VENDOR PAYMENT-INV4594,0.00,94522.16,4905477.84
bank_000058,2026-07-03,GST PAYMENT CHALLAN 8938,0.00,65742.34,4839735.50
bank_000048,2026-07-05,NEFT CR-IYLW689672390407-CUSTOMER DIRECT TRANSFER,817.00,0.00,4840552.50
bank_000002,2026-07-06,IMPS/RHSY538450950037/RAZORPAY SOFTWARE/PAYOUT,78182.92,0.00,4918735.42
bank_000059,2026-07-06,SALARY DISBURSAL AUG-3747,0.00,79256.16,4839479.26
bank_000060,2026-07-07,SALARY DISBURSAL AUG-7188,0.00,317128.80,4522350.46
bank_000001,2026-07-08,IMPS/LDGG798644056931/RAZORPAY SOFTWARE/PAYOUT,93826.87,0.00,4616177.33
bank_000004,2026-07-08,NEFT-RAZORPAY SOFTWARE PRIVATE LIMITED-BPAH962280458165-SETTLEMENT,171373.44,0.00,4787550.77
bank_000005,2026-07-08,RTGS-ISWC240387772807-RAZORPAYSOFTWARE-MERCHANT SETTLEMENT,312799.99,0.00,5100350.76
bank_000006,2026-07-08,RTGS-RENG741961644058-RAZORPAYSOFTWARE-MERCHANT SETTLEMENT,397827.99,0.00,5498178.75
bank_000050,2026-07-08,NEFT CR-SQSW418780708559-CUSTOMER DIRECT TRANSFER,14244.00,0.00,5512422.75
bank_000007,2026-07-09,RTGS-GONM460988549107-RAZORPAYSOFTWARE-MERCHANT SETTLEMENT,200710.73,0.00,5713133.48
bank_000061,2026-07-09,UPI/DR/8485/OFFICE SUPPLIES,0.00,3342.83,5709790.65
bank_000003,2026-07-10,RTGS-ANMH889978907405-RAZORPAYSOFTWARE-MERCHANT SETTLEMENT,147199.67,0.00,5856990.32
bank_000008,2026-07-10,IMPS/YAYA700865403390/RAZORPAY SOFTWARE/PAYOUT,586065.79,0.00,6443056.11
bank_000051,2026-07-10,NEFT CR-ADZU462154637136-CUSTOMER DIRECT TRANSFER,108632.50,0.00,6551688.61
bank_000062,2026-07-10,SALARY DISBURSAL AUG-4224,0.00,308823.17,6242865.44
bank_000009,2026-07-13,RTGS-FMKD484888005970-RAZORPAYSOFTW,185885.05,0.00,6428750.49
bank_000063,2026-07-13,SALARY DISBURSAL AUG-5519,0.00,197352.44,6231398.05
bank_000010,2026-07-14,NEFT-RAZORPAY SOFTWARE PRIVATE LIMITED-ROJM859445680808-SETTLEMENT,283615.41,0.00,6515013.46
bank_000064,2026-07-14,UPI/DR/7976/OFFICE SUPPLIES,0.00,1857.57,6513155.89
bank_000011,2026-07-15,NEFT-RAZORPAY SOFTWARE PRIVATE LIMITED-AXOV447897278852-SETTLEMENT,87862.05,0.00,6601017.94
bank_000012,2026-07-15,NEFT CR-RATN0000088-RAZORPAY SOFTWA,106168.37,0.00,6707186.31
bank_000013,2026-07-15,NEFT-RAZORPAY SOFTWARE PRIVATE LIMITED-BPNK698138012563-SETTLEMENT,335465.82,0.00,7042652.13
bank_000014,2026-07-16,NEFT-RAZORPAY SOFTWARE PRIVATE LIMITED-GLAG579724748443-SETTLEMENT,394576.78,0.00,7437228.91
bank_000065,2026-07-16,UPI/DR/8153/OFFICE SUPPLIES,0.00,8450.87,7428778.04
bank_000015,2026-07-17,IMPS/QHYO676703318394/RAZORPAY SOFTWARE/PAYOUT,215814.13,0.00,7644592.17
bank_000066,2026-07-17,RENT-PROPERTY MGMT-4683,0.00,41941.85,7602650.32
bank_000047,2026-07-18,NEFT CR-BWWO740539222329-CUSTOMER DIRECT TRANSFER,7512.99,0.00,7610163.31
